VOLT1        ,CURR1        
-2.00E+00,-5.15E-05
-1.99E+00,-4.67E-05
-1.98E+00,-4.79E-05
-1.97E+00,-4.69E-05
-1.96E+00,-4.65E-05
-1.95E+00,-4.65E-05
-1.94E+00,-4.70E-05
-1.93E+00,-4.60E-05
-1.92E+00,-4.61E-05
-1.91E+00,-4.56E-05
-1.90E+00,-4.52E-05
-1.89E+00,-4.50E-05
-1.88E+00,-4.41E-05
-1.87E+00,-4.42E-05
-1.86E+00,-4.44E-05
-1.85E+00,-4.65E-05
-1.84E+00,-4.36E-05
-1.83E+00,-4.32E-05
-1.82E+00,-4.32E-05
-1.81E+00,-4.32E-05
-1.80E+00,-4.21E-05
-1.79E+00,-4.22E-05
-1.78E+00,-4.22E-05
-1.77E+00,-4.20E-05
-1.76E+00,-4.19E-05
-1.75E+00,-4.16E-05
-1.74E+00,-4.10E-05
-1.73E+00,-4.11E-05
-1.72E+00,-4.06E-05
-1.71E+00,-3.98E-05
-1.70E+00,-4.00E-05
-1.69E+00,-4.04E-05
-1.68E+00,-3.98E-05
-1.67E+00,-3.96E-05
-1.66E+00,-3.87E-05
-1.65E+00,-3.83E-05
-1.64E+00,-3.82E-05
-1.63E+00,-3.83E-05
-1.62E+00,-3.76E-05
-1.61E+00,-3.75E-05
-1.60E+00,-3.75E-05
-1.59E+00,-3.70E-05
-1.58E+00,-3.66E-05
-1.57E+00,-3.63E-05
-1.56E+00,-3.55E-05
-1.55E+00,-3.49E-05
-1.54E+00,-3.49E-05
-1.53E+00,-3.47E-05
-1.52E+00,-3.46E-05
-1.51E+00,-3.48E-05
-1.50E+00,-3.43E-05
-1.49E+00,-3.40E-05
-1.48E+00,-3.38E-05
-1.47E+00,-3.40E-05
-1.46E+00,-3.28E-05
-1.45E+00,-3.31E-05
-1.44E+00,-3.28E-05
-1.43E+00,-3.23E-05
-1.42E+00,-3.25E-05
-1.41E+00,-3.22E-05
-1.40E+00,-3.18E-05
-1.39E+00,-3.20E-05
-1.38E+00,-3.11E-05
-1.37E+00,-3.07E-05
-1.36E+00,-3.13E-05
-1.35E+00,-3.08E-05
-1.34E+00,-3.04E-05
-1.33E+00,-3.03E-05
-1.32E+00,-3.02E-05
-1.31E+00,-2.96E-05
-1.30E+00,-2.94E-05
-1.29E+00,-2.89E-05
-1.28E+00,-2.85E-05
-1.27E+00,-2.87E-05
-1.26E+00,-2.85E-05
-1.25E+00,-2.79E-05
-1.24E+00,-2.78E-05
-1.23E+00,-2.75E-05
-1.22E+00,-2.68E-05
-1.21E+00,-2.66E-05
-1.20E+00,-2.63E-05
-1.19E+00,-2.60E-05
-1.18E+00,-2.59E-05
-1.17E+00,-2.64E-05
-1.16E+00,-2.53E-05
-1.15E+00,-2.46E-05
-1.14E+00,-2.50E-05
-1.13E+00,-2.43E-05
-1.12E+00,-2.38E-05
-1.11E+00,-2.42E-05
-1.10E+00,-2.37E-05
-1.09E+00,-2.36E-05
-1.08E+00,-2.80E-05
-1.07E+00,-2.36E-05
-1.06E+00,-2.27E-05
-1.05E+00,-2.21E-05
-1.04E+00,-2.16E-05
-1.03E+00,-2.15E-05
-1.02E+00,-2.13E-05
-1.01E+00,-2.10E-05
