VOLT1        ,CURR1        ,RES1         ,TIME1        ,STAT1     ,SOUR1        
-1.994420E+00,-7.015980E-05,+9.910000E+37,+1.870500E-02,      2688,-2.000000E+00
-1.987835E+00,-6.509470E-05,+9.910000E+37,+2.129700E-02,      2688,-1.990000E+00
-1.977850E+00,-6.535540E-05,+9.910000E+37,+2.365900E-02,      2688,-1.980000E+00
-1.967794E+00,-6.467590E-05,+9.910000E+37,+2.600500E-02,      2688,-1.970000E+00
-1.957836E+00,-6.461590E-05,+9.910000E+37,+2.836100E-02,      2688,-1.960000E+00
-1.947813E+00,-6.431680E-05,+9.910000E+37,+3.070100E-02,      2688,-1.950000E+00
-1.937641E+00,-6.332670E-05,+9.910000E+37,+3.304600E-02,      2688,-1.940000E+00
-1.927737E+00,-6.312170E-05,+9.910000E+37,+3.540200E-02,      2688,-1.930000E+00
-1.917692E+00,-6.304550E-05,+9.910000E+37,+3.773700E-02,      2688,-1.920000E+00
-1.907621E+00,-6.262670E-05,+9.910000E+37,+4.006900E-02,      2688,-1.910000E+00
-1.897620E+00,-6.286730E-05,+9.910000E+37,+4.243500E-02,      2688,-1.900000E+00
-1.887612E+00,-6.227980E-05,+9.910000E+37,+4.479700E-02,      2688,-1.890000E+00
-1.877619E+00,-6.167100E-05,+9.910000E+37,+4.713000E-02,      2688,-1.880000E+00
-1.867484E+00,-6.151410E-05,+9.910000E+37,+4.947600E-02,      2688,-1.870000E+00
-1.857553E+00,-6.074150E-05,+9.910000E+37,+5.181500E-02,      2688,-1.860000E+00
-1.847443E+00,-6.011980E-05,+9.910000E+37,+5.415100E-02,      2688,-1.850000E+00
-1.837403E+00,-6.030870E-05,+9.910000E+37,+5.651300E-02,      2688,-1.840000E+00
-1.827439E+00,-5.983070E-05,+9.910000E+37,+5.885500E-02,      2688,-1.830000E+00
-1.817318E+00,-5.969630E-05,+9.910000E+37,+6.119400E-02,      2688,-1.820000E+00
-1.807379E+00,-5.973490E-05,+9.910000E+37,+6.354200E-02,      2688,-1.810000E+00
-1.797394E+00,-5.924850E-05,+9.910000E+37,+6.588100E-02,      2688,-1.800000E+00
-1.787329E+00,-5.885160E-05,+9.910000E+37,+6.821500E-02,      2688,-1.790000E+00
-1.777441E+00,-5.863830E-05,+9.910000E+37,+7.056500E-02,      2688,-1.780000E+00
-1.767345E+00,-5.814730E-05,+9.910000E+37,+7.289700E-02,      2688,-1.770000E+00
-1.757303E+00,-5.725540E-05,+9.910000E+37,+7.522500E-02,      2688,-1.760000E+00
-1.747369E+00,-5.754530E-05,+9.910000E+37,+7.757300E-02,      2688,-1.750000E+00
-1.737393E+00,-5.727380E-05,+9.910000E+37,+7.990500E-02,      2688,-1.740000E+00
-1.727493E+00,-5.738360E-05,+9.910000E+37,+8.227400E-02,      2688,-1.730000E+00
-1.718850E+00,-5.888890E-05,+9.910000E+37,+8.505500E-02,      2688,-1.720000E+00
-1.707569E+00,-5.607870E-05,+9.910000E+37,+8.742600E-02,      2688,-1.710000E+00
-1.697415E+00,-5.675710E-05,+9.910000E+37,+8.979100E-02,      2688,-1.700000E+00
-1.687491E+00,-5.568470E-05,+9.910000E+37,+9.214300E-02,      2688,-1.690000E+00
-1.677344E+00,-5.492830E-05,+9.910000E+37,+9.448100E-02,      2688,-1.680000E+00
-1.667421E+00,-5.512400E-05,+9.910000E+37,+9.683500E-02,      2688,-1.670000E+00
-1.660685E+00,-5.489570E-05,+9.910000E+37,+1.010060E-01,      2688,-1.660000E+00
-1.647051E+00,-5.354010E-05,+9.910000E+37,+1.033600E-01,      2688,-1.650000E+00
-1.637158E+00,-5.421720E-05,+9.910000E+37,+1.057100E-01,      2688,-1.640000E+00
-1.627253E+00,-5.362900E-05,+9.910000E+37,+1.080410E-01,      2688,-1.630000E+00
-1.617221E+00,-5.299450E-05,+9.910000E+37,+1.103670E-01,      2688,-1.620000E+00
-1.607175E+00,-5.274400E-05,+9.910000E+37,+1.127080E-01,      2688,-1.610000E+00
-1.597203E+00,-5.257800E-05,+9.910000E+37,+1.150550E-01,      2688,-1.600000E+00
-1.587260E+00,-5.161820E-05,+9.910000E+37,+1.173970E-01,      2688,-1.590000E+00
-1.577149E+00,-5.194280E-05,+9.910000E+37,+1.197420E-01,      2688,-1.580000E+00
-1.567193E+00,-5.180300E-05,+9.910000E+37,+1.220940E-01,      2688,-1.570000E+00
-1.557168E+00,-5.095610E-05,+9.910000E+37,+1.244300E-01,      2688,-1.560000E+00
-1.547032E+00,-5.104470E-05,+9.910000E+37,+1.267800E-01,      2688,-1.550000E+00
-1.537091E+00,-5.110720E-05,+9.910000E+37,+1.291310E-01,      2688,-1.540000E+00
-1.527208E+00,-4.995210E-05,+9.910000E+37,+1.314620E-01,      2688,-1.530000E+00
-1.517007E+00,-4.979380E-05,+9.910000E+37,+1.338150E-01,      2688,-1.520000E+00
-1.507060E+00,-4.953810E-05,+9.910000E+37,+1.361510E-01,      2688,-1.510000E+00
-1.497230E+00,-4.964770E-05,+9.910000E+37,+1.385480E-01,      2688,-1.500000E+00
